2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	fig|6666666.104566.peg.508	fig|6666666.104573.peg.1738	fig|6666666.104574.peg.278	fig|6666666.104604.peg.154	fig|6666666.104655.peg.83	fig|6666666.104664.peg.1640,fig|6666666.104664.peg.4704	fig|6666666.104681.peg.2464	fig|6666666.104683.peg.873,fig|6666666.104683.peg.1783,fig|6666666.104683.peg.2022	fig|6666666.104692.peg.2307,fig|6666666.104692.peg.3691	fig|6666666.104740.peg.4224	
2-dehydropantoate 2-reductase (EC 1.1.1.169)	fig|6666666.104566.peg.1558	fig|6666666.104573.peg.879		fig|6666666.104604.peg.1263	fig|6666666.104655.peg.816		fig|6666666.104681.peg.4228,fig|6666666.104681.peg.4822	fig|6666666.104683.peg.2204	fig|6666666.104692.peg.3479	fig|6666666.104740.peg.1898	
2-heptaprenyl-1,4-naphthoquinone methyltransferase (EC 2.1.1.163)			fig|6666666.104574.peg.257	fig|6666666.104604.peg.1225		fig|6666666.104664.peg.3760		fig|6666666.104683.peg.4287	fig|6666666.104692.peg.2547	fig|6666666.104740.peg.6480	
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	fig|6666666.104566.peg.1381	fig|6666666.104573.peg.177		fig|6666666.104604.peg.1253	fig|6666666.104655.peg.1054	fig|6666666.104664.peg.74	fig|6666666.104681.peg.5098	fig|6666666.104683.peg.138	fig|6666666.104692.peg.160	fig|6666666.104740.peg.1488,fig|6666666.104740.peg.1604	
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)							fig|6666666.104681.peg.2050				
2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)						fig|6666666.104664.peg.1852,fig|6666666.104664.peg.4526	fig|6666666.104681.peg.6364	fig|6666666.104683.peg.3464,fig|6666666.104683.peg.4443	fig|6666666.104692.peg.4255,fig|6666666.104692.peg.4473	fig|6666666.104740.peg.2006	
2-isopropylmalate synthase (EC 2.3.3.13)	fig|6666666.104566.peg.594	fig|6666666.104573.peg.1480,fig|6666666.104573.peg.1481	fig|6666666.104574.peg.325	fig|6666666.104604.peg.100	fig|6666666.104655.peg.970	fig|6666666.104664.peg.3533	fig|6666666.104681.peg.1750	fig|6666666.104683.peg.2795	fig|6666666.104692.peg.3213	fig|6666666.104740.peg.3936	
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)						fig|6666666.104664.peg.2575	fig|6666666.104681.peg.4791	fig|6666666.104683.peg.1102	fig|6666666.104692.peg.2750		
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	fig|6666666.104566.peg.1011	fig|6666666.104573.peg.620	fig|6666666.104574.peg.461	fig|6666666.104604.peg.1558	fig|6666666.104655.peg.1546	fig|6666666.104664.peg.104,fig|6666666.104664.peg.4765	fig|6666666.104681.peg.1218	fig|6666666.104683.peg.105,fig|6666666.104683.peg.1718	fig|6666666.104692.peg.135,fig|6666666.104692.peg.3628	fig|6666666.104740.peg.1548,fig|6666666.104740.peg.5619,fig|6666666.104740.peg.6362	
2-keto-3-deoxy-L-fuconate dehydrogenase							fig|6666666.104681.peg.6367				
2-keto-4-pentenoate hydratase (EC 4.2.1.80)										fig|6666666.104740.peg.1494	
2-methylaconitate isomerase						fig|6666666.104664.peg.2964		fig|6666666.104683.peg.93	fig|6666666.104692.peg.94		
2-methylcitrate dehydratase (EC 4.2.1.79)						fig|6666666.104664.peg.372		fig|6666666.104683.peg.1558	fig|6666666.104692.peg.437		
2-methylcitrate synthase (EC 2.3.3.5)								fig|6666666.104683.peg.1560	fig|6666666.104692.peg.435		
2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase							fig|6666666.104681.peg.6182				
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)						fig|6666666.104664.peg.2705	fig|6666666.104681.peg.5452	fig|6666666.104683.peg.491	fig|6666666.104692.peg.834	fig|6666666.104740.peg.2223,fig|6666666.104740.peg.5530	
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)		fig|6666666.104573.peg.1175				fig|6666666.104664.peg.3758		fig|6666666.104683.peg.4293	fig|6666666.104692.peg.2553	fig|6666666.104740.peg.4906	
23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-)	fig|6666666.104566.peg.1031	fig|6666666.104573.peg.642		fig|6666666.104604.peg.1537	fig|6666666.104655.peg.1525	fig|6666666.104664.peg.4636	fig|6666666.104681.peg.5776	fig|6666666.104683.peg.1853	fig|6666666.104692.peg.3761		
23S rRNA (Uracil-5-) -methyltransferase rumB (EC 2.1.1.-)	fig|6666666.104566.peg.1605	fig|6666666.104573.peg.826		fig|6666666.104604.peg.1279							
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	fig|6666666.104566.peg.44	fig|6666666.104573.peg.319	fig|6666666.104574.peg.921,fig|6666666.104574.peg.1358	fig|6666666.104604.peg.819	fig|6666666.104655.peg.1205	fig|6666666.104664.peg.807,fig|6666666.104664.peg.3013	fig|6666666.104681.peg.637	fig|6666666.104683.peg.2677,fig|6666666.104683.peg.3914	fig|6666666.104692.peg.1336,fig|6666666.104692.peg.3331	fig|6666666.104740.peg.2279,fig|6666666.104740.peg.2413	
23S rRNA N-6-methyltransferase ErmCX								fig|6666666.104683.peg.3194	fig|6666666.104692.peg.3981		
2H phosphoesterase superfamily protein Bsu1186 (yjcG)							fig|6666666.104681.peg.918				
3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	fig|6666666.104566.peg.816	fig|6666666.104573.peg.994			fig|6666666.104655.peg.1733	fig|6666666.104664.peg.1588	fig|6666666.104681.peg.552,fig|6666666.104681.peg.3279,fig|6666666.104681.peg.3450	fig|6666666.104683.peg.812	fig|6666666.104692.peg.1695	fig|6666666.104740.peg.5886	
3'-phosphatase, 5'-polynucleotide kinase, phage-associated							fig|6666666.104681.peg.6385			fig|6666666.104740.peg.7112	
3'-to-5' exoribonuclease RNase R			fig|6666666.104574.peg.1554							fig|6666666.104740.peg.6415	
3'-to-5' oligoribonuclease (orn)	fig|6666666.104566.peg.757	fig|6666666.104573.peg.943	fig|6666666.104574.peg.1874	fig|6666666.104604.peg.1068	fig|6666666.104655.peg.1456	fig|6666666.104664.peg.2781	fig|6666666.104681.peg.2274	fig|6666666.104683.peg.421	fig|6666666.104692.peg.900	fig|6666666.104740.peg.5258	
3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)						fig|6666666.104664.peg.925	fig|6666666.104681.peg.4022	fig|6666666.104683.peg.519	fig|6666666.104692.peg.1009	fig|6666666.104740.peg.6183	
3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)										fig|6666666.104740.peg.1396	
3,5-diaminohexanoate dehydrogenase (EC 1.4.1.11)							fig|6666666.104681.peg.4267			fig|6666666.104740.peg.748	
3,7-dideoxy-D-threo-hepto-2, 6-diulosonate synthase (EC 4.2.3.-)										fig|6666666.104740.peg.5626	
3-aminobutyryl-CoA ammonia-lyase (EC 4.3.1.14)							fig|6666666.104681.peg.4271			fig|6666666.104740.peg.752	
3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)										fig|6666666.104740.peg.1723	
3-dehydroquinate dehydratase I (EC 4.2.1.10)	fig|6666666.104566.peg.1495	fig|6666666.104573.peg.246	fig|6666666.104574.peg.1001	fig|6666666.104604.peg.1191,fig|6666666.104604.peg.1192	fig|6666666.104655.peg.771						
3-dehydroquinate dehydratase II (EC 4.2.1.10)						fig|6666666.104664.peg.907,fig|6666666.104664.peg.1397	fig|6666666.104681.peg.2622	fig|6666666.104683.peg.555,fig|6666666.104683.peg.2116	fig|6666666.104692.peg.1043,fig|6666666.104692.peg.1385	fig|6666666.104740.peg.6283	
3-dehydroquinate synthase (EC 4.2.3.4)	fig|6666666.104566.peg.76	fig|6666666.104573.peg.371	fig|6666666.104574.peg.105	fig|6666666.104604.peg.770	fig|6666666.104655.peg.841	fig|6666666.104664.peg.903,fig|6666666.104664.peg.1398	fig|6666666.104681.peg.2623	fig|6666666.104683.peg.556,fig|6666666.104683.peg.2111	fig|6666666.104692.peg.1044,fig|6666666.104692.peg.1390	fig|6666666.104740.peg.6284	
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)				fig|6666666.104604.peg.1286	fig|6666666.104655.peg.1484	fig|6666666.104664.peg.678,fig|6666666.104664.peg.712,fig|6666666.104664.peg.3385,fig|6666666.104664.peg.4632	fig|6666666.104681.peg.1808,fig|6666666.104681.peg.2335,fig|6666666.104681.peg.5739,fig|6666666.104681.peg.5814	fig|6666666.104683.peg.1611,fig|6666666.104683.peg.1857,fig|6666666.104683.peg.2334,fig|6666666.104683.peg.2948	fig|6666666.104692.peg.265,fig|6666666.104692.peg.2004,fig|6666666.104692.peg.3061,fig|6666666.104692.peg.3765	fig|6666666.104740.peg.453,fig|6666666.104740.peg.616,fig|6666666.104740.peg.2958,fig|6666666.104740.peg.3338,fig|6666666.104740.peg.3514,fig|6666666.104740.peg.4685,fig|6666666.104740.peg.5787	
3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)										fig|6666666.104740.peg.321	
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)						fig|6666666.104664.peg.678	fig|6666666.104681.peg.1808,fig|6666666.104681.peg.2335,fig|6666666.104681.peg.5814	fig|6666666.104683.peg.2334	fig|6666666.104692.peg.265	fig|6666666.104740.peg.453,fig|6666666.104740.peg.616,fig|6666666.104740.peg.3338,fig|6666666.104740.peg.5787	
3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)						fig|6666666.104664.peg.4632	fig|6666666.104681.peg.5739	fig|6666666.104683.peg.1857	fig|6666666.104692.peg.3765	fig|6666666.104740.peg.2958,fig|6666666.104740.peg.4685	
3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)						fig|6666666.104664.peg.430		fig|6666666.104683.peg.2138	fig|6666666.104692.peg.3548		
3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)						fig|6666666.104664.peg.90,fig|6666666.104664.peg.431		fig|6666666.104683.peg.120,fig|6666666.104683.peg.2137	fig|6666666.104692.peg.179,fig|6666666.104692.peg.3549		
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	fig|6666666.104566.peg.662	fig|6666666.104573.peg.1549	fig|6666666.104574.peg.1416		fig|6666666.104655.peg.342	fig|6666666.104664.peg.4531	fig|6666666.104681.peg.2005	fig|6666666.104683.peg.4438	fig|6666666.104692.peg.4468	fig|6666666.104740.peg.2001	
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	fig|6666666.104566.peg.661	fig|6666666.104573.peg.1548	fig|6666666.104574.peg.1415		fig|6666666.104655.peg.343	fig|6666666.104664.peg.4530	fig|6666666.104681.peg.2004	fig|6666666.104683.peg.4437	fig|6666666.104692.peg.4467	fig|6666666.104740.peg.2000	
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	fig|6666666.104566.peg.716	fig|6666666.104573.peg.217	fig|6666666.104574.peg.1844		fig|6666666.104655.peg.1597	fig|6666666.104664.peg.2432,fig|6666666.104664.peg.2960,fig|6666666.104664.peg.4521	fig|6666666.104681.peg.2021	fig|6666666.104683.peg.97,fig|6666666.104683.peg.1247,fig|6666666.104683.peg.4446	fig|6666666.104692.peg.90,fig|6666666.104692.peg.2903,fig|6666666.104692.peg.4476	fig|6666666.104740.peg.2008	
3-keto-5-aminohexanoate cleavage enzyme							fig|6666666.104681.peg.612			fig|6666666.104740.peg.6883	
3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|6666666.104566.peg.715	fig|6666666.104573.peg.216		fig|6666666.104604.peg.1098	fig|6666666.104655.peg.1599	fig|6666666.104664.peg.744,fig|6666666.104664.peg.2403,fig|6666666.104664.peg.2723,fig|6666666.104664.peg.3517,fig|6666666.104664.peg.4224,fig|6666666.104664.peg.4633	fig|6666666.104681.peg.1099,fig|6666666.104681.peg.3145,fig|6666666.104681.peg.4413,fig|6666666.104681.peg.4978,fig|6666666.104681.peg.5277,fig|6666666.104681.peg.5738,fig|6666666.104681.peg.6423	fig|6666666.104683.peg.479,fig|6666666.104683.peg.1273,fig|6666666.104683.peg.1646,fig|6666666.104683.peg.1858,fig|6666666.104683.peg.2820,fig|6666666.104683.peg.4750	fig|6666666.104692.peg.845,fig|6666666.104692.peg.1969,fig|6666666.104692.peg.2930,fig|6666666.104692.peg.3189,fig|6666666.104692.peg.3766,fig|6666666.104692.peg.4782	fig|6666666.104740.peg.268,fig|6666666.104740.peg.2959,fig|6666666.104740.peg.2981,fig|6666666.104740.peg.3217,fig|6666666.104740.peg.4354,fig|6666666.104740.peg.4684,fig|6666666.104740.peg.4746	
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	fig|6666666.104566.peg.993	fig|6666666.104573.peg.602	fig|6666666.104574.peg.376	fig|6666666.104604.peg.1577		fig|6666666.104664.peg.337	fig|6666666.104681.peg.2226	fig|6666666.104683.peg.4315	fig|6666666.104692.peg.4351	fig|6666666.104740.peg.6410	
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	fig|6666666.104566.peg.578,fig|6666666.104566.peg.1717		fig|6666666.104574.peg.343,fig|6666666.104574.peg.1486,fig|6666666.104574.peg.1592,fig|6666666.104574.peg.1999	fig|6666666.104604.peg.206,fig|6666666.104604.peg.1007,fig|6666666.104604.peg.1673	fig|6666666.104655.peg.890,fig|6666666.104655.peg.1713	fig|6666666.104664.peg.530,fig|6666666.104664.peg.570,fig|6666666.104664.peg.630,fig|6666666.104664.peg.638,fig|6666666.104664.peg.740,fig|6666666.104664.peg.753,fig|6666666.104664.peg.1064,fig|6666666.104664.peg.1238,fig|6666666.104664.peg.1524,fig|6666666.104664.peg.1538,fig|6666666.104664.peg.1643,fig|6666666.104664.peg.1661,fig|6666666.104664.peg.1736,fig|6666666.104664.peg.1798,fig|6666666.104664.peg.2033,fig|6666666.104664.peg.2180,fig|6666666.104664.peg.3434,fig|6666666.104664.peg.3466,fig|6666666.104664.peg.3485,fig|6666666.104664.peg.4549	fig|6666666.104681.peg.215,fig|6666666.104681.peg.613,fig|6666666.104681.peg.891,fig|6666666.104681.peg.1087,fig|6666666.104681.peg.1447,fig|6666666.104681.peg.1503,fig|6666666.104681.peg.1670,fig|6666666.104681.peg.1751,fig|6666666.104681.peg.1774,fig|6666666.104681.peg.1970,fig|6666666.104681.peg.2216,fig|6666666.104681.peg.2491,fig|6666666.104681.peg.2784,fig|6666666.104681.peg.2803,fig|6666666.104681.peg.4169,fig|6666666.104681.peg.4220,fig|6666666.104681.peg.4286,fig|6666666.104681.peg.4414,fig|6666666.104681.peg.4423,fig|6666666.104681.peg.4930,fig|6666666.104681.peg.4992,fig|6666666.104681.peg.5080,fig|6666666.104681.peg.5208,fig|6666666.104681.peg.5624,fig|6666666.104681.peg.5688,fig|6666666.104681.peg.5689,fig|6666666.104681.peg.5759,fig|6666666.104681.peg.5976,fig|6666666.104681.peg.6195	fig|6666666.104683.peg.298,fig|6666666.104683.peg.624,fig|6666666.104683.peg.752,fig|6666666.104683.peg.764,fig|6666666.104683.peg.870,fig|6666666.104683.peg.891,fig|6666666.104683.peg.1020,fig|6666666.104683.peg.1371,fig|6666666.104683.peg.1448,fig|6666666.104683.peg.1640,fig|6666666.104683.peg.2247,fig|6666666.104683.peg.2456,fig|6666666.104683.peg.2489,fig|6666666.104683.peg.2501,fig|6666666.104683.peg.2550,fig|6666666.104683.peg.2851,fig|6666666.104683.peg.2876,fig|6666666.104683.peg.2896,fig|6666666.104683.peg.3101,fig|6666666.104683.peg.3530,fig|6666666.104683.peg.4415	fig|6666666.104692.peg.303,fig|6666666.104692.peg.475,fig|6666666.104692.peg.486,fig|6666666.104692.peg.789,fig|6666666.104692.peg.1113,fig|6666666.104692.peg.1566,fig|6666666.104692.peg.1746,fig|6666666.104692.peg.1759,fig|6666666.104692.peg.1871,fig|6666666.104692.peg.1959,fig|6666666.104692.peg.1975,fig|6666666.104692.peg.2159,fig|6666666.104692.peg.2288,fig|6666666.104692.peg.2310,fig|6666666.104692.peg.3113,fig|6666666.104692.peg.3133,fig|6666666.104692.peg.3158,fig|6666666.104692.peg.3435,fig|6666666.104692.peg.4317,fig|6666666.104692.peg.4445	fig|6666666.104740.peg.47,fig|6666666.104740.peg.91,fig|6666666.104740.peg.276,fig|6666666.104740.peg.523,fig|6666666.104740.peg.579,fig|6666666.104740.peg.659,fig|6666666.104740.peg.1448,fig|6666666.104740.peg.1602,fig|6666666.104740.peg.1608,fig|6666666.104740.peg.1632,fig|6666666.104740.peg.1656,fig|6666666.104740.peg.1793,fig|6666666.104740.peg.1796,fig|6666666.104740.peg.2411,fig|6666666.104740.peg.2909,fig|6666666.104740.peg.4338,fig|6666666.104740.peg.4355,fig|6666666.104740.peg.4947,fig|6666666.104740.peg.5210,fig|6666666.104740.peg.5567,fig|6666666.104740.peg.5966,fig|6666666.104740.peg.6112,fig|6666666.104740.peg.6845	
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)										fig|6666666.104740.peg.273,fig|6666666.104740.peg.320	
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)										fig|6666666.104740.peg.456,fig|6666666.104740.peg.1668,fig|6666666.104740.peg.1786	
4'-phosphopantetheinyl transferase (EC 2.7.8.-)							fig|6666666.104681.peg.3093	fig|6666666.104683.peg.3502	fig|6666666.104692.peg.4288	fig|6666666.104740.peg.1717	
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	fig|6666666.104566.peg.772	fig|6666666.104573.peg.955	fig|6666666.104574.peg.1804	fig|6666666.104604.peg.1061	fig|6666666.104655.peg.170		fig|6666666.104681.peg.2170			fig|6666666.104740.peg.5010	
4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase										fig|6666666.104740.peg.4788	
4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)						fig|6666666.104664.peg.1721		fig|6666666.104683.peg.1029	fig|6666666.104692.peg.2150	fig|6666666.104740.peg.4160	
4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	fig|6666666.104566.peg.1675	fig|6666666.104573.peg.419	fig|6666666.104574.peg.1892,fig|6666666.104574.peg.1893				fig|6666666.104681.peg.3858			fig|6666666.104740.peg.166	
