FUNCTION	Actinobaculum schaalii FB123-CNA-2 AGWM01	Actinobaculum schaalii DSM 15541 AUBK01	Actinobaculum sp. oral taxon 183 str. F0552 AWSB01	Actinobaculum massiliae ACS-171-V-Col2 AGWL01	Actinobaculum urinale DSM 15805 ATUY01	Actinoalloteichus cyanogriseus JOAL01	Actinocatenispora sera JOEG01	Actinoalloteichus cyanogriseus DSM 43889 AUBJ01	Actinoalloteichus cyanogriseus JODV01	Actinokineospora enzanensis DSM 44649 ARFV01	
3-dehydroquinate dehydratase II (EC 4.2.1.10)	0	0	0	0	0	2	1	2	2	1	
3-dehydroquinate synthase (EC 4.2.3.4)	1	1	1	1	1	2	1	2	2	1	
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0	0	0	1	1	4	4	4	4	7	
3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)	0	0	0	0	0	0	0	0	0	1	
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	0	0	0	0	0	1	3	1	1	4	
3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)	0	0	0	0	0	1	1	1	1	2	
3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	0	0	0	0	0	1	0	1	1	0	
3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	0	0	0	0	0	2	0	2	2	0	
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	1	1	1	0	1	1	1	1	1	1	
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	1	1	1	0	1	1	1	1	1	1	
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	1	1	1	0	1	3	1	3	3	1	
3-keto-5-aminohexanoate cleavage enzyme	0	0	0	0	0	0	1	0	0	1	
3-ketoacyl-CoA thiolase (EC 2.3.1.16)	1	1	0	1	1	6	7	6	6	7	
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	1	1	1	1	0	1	1	1	1	1	
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	2	0	4	3	2	20	29	21	20	23	
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	0	0	0	0	0	0	0	0	0	2	
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	0	0	0	0	0	0	0	0	0	3	
4'-phosphopantetheinyl transferase (EC 2.7.8.-)	0	0	0	0	0	0	1	1	1	1	
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	1	1	1	1	1	0	1	0	0	1	
4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase	0	0	0	0	0	0	0	0	0	1	
4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)	0	0	0	0	0	1	0	1	1	1	
4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	1	1	2	0	0	0	1	0	0	1	
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	0	0	1	0	0	1	1	1	1	1	
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	0	0	1	0	0	1	1	1	1	2	
4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	1	1	1	1	1	1	1	1	1	1	
4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	6	4	1	5	4	2	3	3	3	3	
4-hydroxybenzoyl-CoA thioesterase family active site	0	0	0	0	0	1	0	1	1	0	
4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)	0	0	0	0	0	1	0	1	1	1	
4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	0	0	0	0	0	2	1	2	2	2	
4-hydroxyproline epimerase (EC 5.1.1.8)	0	0	0	0	0	0	1	0	0	0	
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	0	0	0	2	0	0	0	0	0	0	
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	0	0	0	0	0	1	0	1	1	1	
4Fe-4S ferredoxin, iron-sulfur binding	1	1	1	1	1	0	1	0	0	0	
5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	1	1	1	1	1	0	0	0	0	0	
5'-methylthioadenosine phosphorylase (EC 2.4.2.28)	1	0	0	0	0	0	1	0	0	0	
5'-nucleotidase (EC 3.1.3.5)	1	4	1	0	0	1	2	1	1	1	
5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	0	0	1	0	1	1	2	1	1	1	
5,6-dimethylbenzimidazole synthase, flavin destructase family	0	0	0	0	0	0	0	0	0	1	
5-Amino-6-(5'-phosphoribitylamino)uracil phosphatase	0	0	0	0	0	1	1	1	1	1	
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	1	1	1	1	1	0	2	1	1	1	
5-Hydroxyisourate Hydrolase (HIUase) (EC 3.5.2.17)	0	0	0	0	0	0	1	0	0	0	
5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	0	0	0	0	0	1	1	1	1	3	
5-aminopentanamidase (EC 3.5.1.30)	0	0	0	0	0	0	1	0	0	0	
5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)	0	0	0	0	0	0	1	0	0	1	
5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)	0	0	0	0	0	0	0	0	0	1	
5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)	0	0	0	0	0	2	1	2	2	1	
5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	0	0	0	0	0	2	1	2	2	0	
5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0	0	0	0	0	0	1	0	0	0	
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	1	1	1	1	1	1	1	1	1	1	
5-keto-2-deoxy-D-gluconate-6 phosphate aldolase [form 2] (EC 4.1.2.29)	0	0	0	0	0	0	1	0	0	0	
5-keto-2-deoxygluconokinase (EC 2.7.1.92)	0	0	0	0	0	0	1	0	0	0	
5-keto-D-gluconate 5-reductase (EC 1.1.1.69)	0	0	0	0	0	1	0	1	1	0	
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	0	0	0	0	0	1	0	1	1	1	
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	0	0	1	0	1	1	0	2	2	1	
5-nucleotidase SurE (EC 3.1.3.5)	0	0	0	0	0	1	0	1	1	1	
6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	0	0	0	0	0	1	1	1	1	1	
6-phospho-3-hexuloisomerase	0	0	1	0	0	0	0	0	0	0	
6-phospho-beta-glucosidase (EC 3.2.1.86)	0	0	1	0	0	0	1	0	0	1	
6-phosphofructokinase (EC 2.7.1.11)	1	1	0	1	0	1	2	1	1	1	
6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	1	1	1	1	1	1	2	2	2	1	
6-phosphogluconolactonase (EC 3.1.1.31)	0	0	0	0	0	1	1	1	1	0	
6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	0	0	0	0	0	1	1	1	1	1	
7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 1	0	0	0	0	0	1	0	1	1	1	
7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2	0	0	0	0	0	1	0	1	1	1	
8-amino-7-oxononanoate synthase (EC 2.3.1.47)	0	0	0	0	0	1	2	1	1	1	
A/G-specific adenine glycosylase (EC 3.2.2.-)	1	0	1	1	1	1	1	1	1	1	
ABC alpha-glucoside transporter, inner membrane subunit AglF	0	0	0	0	0	0	1	0	0	0	
ABC transporter (iron.B12.siderophore.hemin) , ATP-binding component	0	0	0	0	0	0	0	1	1	0	
ABC transporter (iron.B12.siderophore.hemin) , periplasmic substrate-binding component	0	0	0	0	0	1	0	1	1	0	
ABC transporter (iron.B12.siderophore.hemin) , permease component	0	0	0	0	0	1	0	1	1	0	
ABC transporter membrane-spanning permease, Pep export, Vex3	1	1	0	0	2	0	0	0	0	0	
ABC transporter, ATP-binding protein Vex2	1	1	0	0	1	0	0	0	0	0	
ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)	0	0	0	0	0	1	0	1	1	0	
ABC-type Fe3+-siderophore transport system, ATPase component	0	0	0	0	0	3	0	3	3	0	
ABC-type Fe3+-siderophore transport system, permease 2 component	1	1	2	1	0	3	0	3	3	1	
ABC-type Fe3+-siderophore transport system, permease component	0	0	0	0	0	3	0	3	3	0	
ABC-type multidrug transport system, ATPase component	0	0	0	0	0	0	6	9	9	6	
ABC-type multidrug transport system, permease component	0	0	0	0	0	0	3	7	6	5	
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	0	0	0	0	0	0	1	0	0	0	
ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	0	0	0	0	0	0	0	0	0	1	
ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	0	0	1	0	0	0	1	0	0	0	
ABC-type probable sulfate transporter, ATPase component	0	0	0	0	0	0	1	0	0	0	
ABC-type probable sulfate transporter, periplasmic binding protein	0	0	0	0	0	0	1	0	0	0	
ABC-type probable sulfate transporter, permease protein	0	0	0	0	0	0	1	0	0	0	
ACT domain protein	0	1	1	1	0	0	0	0	0	0	
ADP-heptose synthase (EC 2.7.-.-)	0	0	0	0	0	2	0	2	2	0	
ADP-heptose--lipooligosaccharide heptosyltransferase II (EC 2.4.1.-)	0	0	0	0	0	2	0	1	3	0	
ADP-ribose pyrophosphatase (EC 3.6.1.13)	1	1	1	0	1	2	1	2	2	4	
ATP phosphoribosyltransferase (EC 2.4.2.17)	0	0	1	1	0	1	1	1	1	1	
ATP-dependent Clp protease ATP-binding subunit ClpA	0	0	0	0	0	1	1	1	1	0	
ATP-dependent Clp protease ATP-binding subunit ClpX	1	1	1	1	1	2	1	2	2	2	
ATP-dependent Clp protease adaptor protein ClpS	1	1	1	1	0	1	1	1	1	1	
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	2	2	2	2	2	2	6	2	2	4	
ATP-dependent Clp protease, ATP-binding subunit ClpC	1	1	1	1	1	2	2	2	2	3	
ATP-dependent DNA helicase RecG (EC 3.6.1.-)	0	0	0	0	0	0	1	0	0	0	
ATP-dependent DNA helicase RecQ	0	0	0	0	0	3	2	3	3	3	
ATP-dependent DNA helicase SCO5183	1	1	1	1	1	0	1	1	1	1	
ATP-dependent DNA helicase SCO5184	1	1	1	1	1	1	1	1	1	1	
ATP-dependent DNA helicase UvrD/PcrA	1	1	2	1	1	2	2	2	2	1	
ATP-dependent DNA helicase UvrD/PcrA, actinomycete paralog	1	1	1	1	1	1	1	1	1	1	
ATP-dependent DNA ligase (EC 6.5.1.1)	0	0	0	0	0	1	3	1	1	4	
ATP-dependent DNA ligase (EC 6.5.1.1) LigC	0	0	0	0	0	1	1	1	1	1	
ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD	0	0	0	0	0	2	4	2	2	2	
ATP-dependent nuclease, subunit A	0	0	0	0	0	1	0	2	1	0	
ATP-dependent nuclease, subunit B	0	0	0	0	0	1	0	2	1	0	
ATP-dependent protease La (EC 3.4.21.53) Type I	0	0	0	0	0	0	1	0	0	1	
ATPase component BioM of energizing module of biotin ECF transporter	0	0	0	0	0	0	1	0	0	1	
ATPase component CbiO of energizing module of cobalt ECF transporter	0	0	0	0	0	0	0	0	0	1	
ATPase component NikO of energizing module of nickel ECF transporter	0	0	0	0	0	0	0	0	0	1	
ATPase, AFG1 family	0	0	0	0	0	1	0	1	1	1	
Acetaldehyde dehydrogenase (EC 1.2.1.10)	1	1	0	1	1	0	0	0	0	0	
Acetate kinase (EC 2.7.2.1)	1	1	1	1	1	1	2	1	1	1	
Acetate permease ActP (cation/acetate symporter)	0	0	0	0	0	0	1	0	0	1	
Acetoacetyl-CoA reductase (EC 1.1.1.36)	0	0	0	0	0	0	1	0	0	3	
Acetoacetyl-CoA synthetase (EC 6.2.1.16)	0	0	0	0	0	2	1	2	2	1	
Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-)	0	0	0	0	0	0	0	0	0	1	
Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-)	0	0	0	0	0	0	0	0	0	2	
Acetolactate synthase large subunit (EC 2.2.1.6)	1	1	1	1	1	1	3	1	1	3	
Acetolactate synthase small subunit (EC 2.2.1.6)	1	1	1	1	1	1	1	1	1	1	
Acetyl xylan esterase (EC 3.1.1.41)	0	0	0	0	0	1	1	1	1	0	
Acetyl-CoA acetyltransferase (EC 2.3.1.9)	1	1	0	1	1	5	6	5	5	7	
Acetyl-CoA:Cys-GlcN-Ins acetyltransferase, mycothiol synthase MshD	0	0	0	0	0	1	1	1	1	1	
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	1	1	1	1	1	3	1	3	3	4	
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	1	1	1	1	1	3	1	3	3	4	
Acetyl-coenzyme A synthetase (EC 6.2.1.1)	0	0	0	0	0	2	2	3	3	2	
Acetylglutamate kinase (EC 2.7.2.8)	0	0	0	0	1	1	1	1	1	1	
Acetylornithine aminotransferase (EC 2.6.1.11)	0	0	0	0	1	2	1	2	2	1	
Acetylornithine deacetylase (EC 3.5.1.16)	0	0	0	0	0	1	0	1	1	1	
Aconitate hydratase (EC 4.2.1.3)	0	0	0	0	0	1	2	1	1	1	
Acriflavin resistance protein	0	0	0	0	0	1	1	1	1	1	
Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24)	1	1	1	0	1	1	1	1	1	1	
Acyl carrier protein	0	0	0	0	0	3	2	4	3	9	
Acyl dehydratase	0	0	0	0	0	1	2	1	1	3	
Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	0	0	0	0	0	1	1	1	1	1	
Acyl-CoA thioesterase II (EC 3.1.2.-)	1	1	1	1	1	1	2	1	1	1	
Acylamino-acid-releasing enzyme (EC 3.4.19.1)	0	0	0	0	0	1	1	1	1	1	
Acylphosphate phosphohydrolase (EC 3.6.1.7), putative	0	0	0	0	0	1	0	1	1	1	
Additional substrate-specific component NikN of nickel ECF transporter	0	0	0	0	0	0	0	0	0	1	
Adenine deaminase (EC 3.5.4.2)	1	1	0	1	1	0	0	0	0	0	
Adenine phosphoribosyltransferase (EC 2.4.2.7)	1	1	1	1	1	1	1	1	1	1	
Adenine-specific methyltransferase (EC 2.1.1.72)	0	0	0	2	4	0	0	0	0	1	
Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-)	0	0	0	0	0	0	1	0	0	0	
Adenosine deaminase (EC 3.5.4.4)	2	2	1	2	1	2	4	2	2	3	
Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	0	0	0	0	0	0	1	0	0	1	
Adenosylcobinamide-phosphate synthase (EC 6.3.1.10)	0	0	0	0	0	0	1	0	0	1	
Adenosylhomocysteinase (EC 3.3.1.1)	0	0	0	0	0	1	2	1	1	1	
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	0	0	0	0	0	2	2	2	2	1	
Adenylate cyclase (EC 4.6.1.1)	2	2	2	2	2	0	3	1	1	4	
Adenylate kinase (EC 2.7.4.3)	1	1	1	1	1	2	1	2	2	1	
Adenylosuccinate lyase (EC 4.3.2.2)	1	1	1	1	1	1	1	1	1	1	
Adenylosuccinate synthetase (EC 6.3.4.4)	1	1	1	1	1	1	1	1	1	1	
Adenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.10)	0	0	0	0	0	0	1	0	0	0	
Adenylylsulfate kinase (EC 2.7.1.25)	0	0	0	0	0	0	1	0	0	3	
Aerotaxis sensor receptor protein	0	0	0	0	0	0	0	0	0	1	
Agmatinase (EC 3.5.3.11)	0	0	0	0	0	0	0	0	0	1	
AknN	0	0	0	0	0	0	0	0	0	1	
Alanine dehydrogenase (EC 1.4.1.1)	1	1	0	1	0	2	1	2	2	1	
Alanine racemase (EC 5.1.1.1)	1	1	1	1	1	2	1	2	2	1	
Alanyl-tRNA synthetase (EC 6.1.1.7)	1	1	1	1	1	1	2	1	1	2	
Alcohol dehydrogenase (EC 1.1.1.1)	5	5	2	5	2	5	3	5	5	5	
Aldehyde dehydrogenase (EC 1.2.1.3)	2	0	1	1	0	7	4	6	6	10	
Aldehyde dehydrogenase (EC 1.2.1.3), PaaZ	0	0	0	0	0	1	1	1	1	1	
Aldehyde dehydrogenase in hypothetical Actinobacterial gene cluster	0	0	0	0	0	0	0	0	0	1	
Aldose 1-epimerase (EC 5.1.3.3)	0	0	0	0	0	0	1	0	0	0	
Aldose 1-epimerase family protein YeaD	0	0	0	1	0	0	0	0	0	0	
Alkaline phosphatase (EC 3.1.3.1)	8	7	0	5	0	2	0	2	2	5	
Alkanesulfonate monooxygenase (EC 1.14.14.5)	0	0	0	0	0	0	0	0	0	7	
Alkanesulfonates ABC transporter ATP-binding protein	0	0	1	0	0	0	0	0	0	2	
Alkanesulfonates transport system permease protein	0	0	1	0	0	1	0	2	2	3	
Alkanesulfonates-binding protein	0	0	0	0	0	0	0	0	0	3	
Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)	0	0	1	1	0	1	0	1	1	0	
Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	0	0	0	1	0	0	0	0	0	0	
Alkyl hydroperoxide reductase subunit C-like protein	0	0	0	0	0	2	1	2	2	2	
Alkylated DNA repair protein AlkB	0	0	0	0	0	0	1	0	0	1	
Alkylhydroperoxidase protein D	0	0	1	0	0	1	0	1	1	0	
Allantoicase (EC 3.5.3.4)	0	0	0	0	0	0	1	0	0	0	
Allantoinase (EC 3.5.2.5)	0	0	0	0	0	0	1	0	0	0	
Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)	0	0	0	1	1	1	1	1	1	1	
Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	0	0	0	1	1	1	1	1	1	1	
Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)	0	0	0	0	0	1	1	1	1	1	
Alpha-1,2-mannosidase	0	0	0	0	0	0	3	0	0	1	
Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)	0	0	1	0	1	0	0	0	0	0	
Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)	0	0	0	1	0	1	0	1	1	0	
Alpha-L-arabinofuranosidase II precursor (EC 3.2.1.55)	0	0	0	0	0	0	0	0	0	1	
Alpha-L-fucosidase (EC 3.2.1.51)	0	0	0	0	0	0	1	0	0	0	
Alpha-N-acetylglucosaminidase (EC 3.2.1.50)	0	0	0	0	0	0	3	0	0	0	
Alpha-amylase (EC 3.2.1.1)	1	1	1	1	1	0	0	0	0	0	
Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21)	0	0	0	0	0	1	4	1	1	0	
Alpha-galactosidase (EC 3.2.1.22)	0	1	0	0	0	1	2	1	1	0	
Alpha-galactosidase precursor (EC 3.2.1.22)	0	0	0	0	0	0	4	0	0	0	
Alpha-glucosidase (EC 3.2.1.20)	2	2	0	1	0	0	2	0	0	1	
Alpha-glucoside transport system permease protein AglG	0	0	0	0	0	0	1	0	0	0	
Alpha-glucosides-binding periplasmic protein AglE precursor	0	0	0	0	0	0	1	0	0	1	
Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)	0	0	0	0	0	0	0	0	0	2	
